model,arch,precision,tp,users,per_user_toks,aggregate_toks,fp8_over_fp16,engine,maxlen,gentok,run_dir,date
Qwen3.5-35B-A3B,moe_a3b,fp16,2,1,,,,vllm021-cu126,4096,512,q35b_exact_triad_tp2_20260624_174257,2026-06-24
Qwen3.5-35B-A3B,moe_a3b,fp16,2,2,,,,vllm021-cu126,4096,512,q35b_exact_triad_tp2_20260624_174257,2026-06-24
Qwen3.5-35B-A3B,moe_a3b,fp16,2,4,,,,vllm021-cu126,4096,512,q35b_exact_triad_tp2_20260624_174257,2026-06-24
Qwen3.5-35B-A3B,moe_a3b,fp16,2,8,,,,vllm021-cu126,4096,512,q35b_exact_triad_tp2_20260624_174257,2026-06-24
Qwen3.5-35B-A3B,moe_a3b,fp8_w8a16,2,1,82.20,82.20,,vllm021-cu126,4096,512,q35b_exact_triad_tp2_20260624_174257,2026-06-24
Qwen3.5-35B-A3B,moe_a3b,fp8_w8a16,2,2,64.21,128.42,,vllm021-cu126,4096,512,q35b_exact_triad_tp2_20260624_174257,2026-06-24
Qwen3.5-35B-A3B,moe_a3b,fp8_w8a16,2,4,53.82,215.29,,vllm021-cu126,4096,512,q35b_exact_triad_tp2_20260624_174257,2026-06-24
Qwen3.5-35B-A3B,moe_a3b,fp8_w8a16,2,8,39.26,314.09,,vllm021-cu126,4096,512,q35b_exact_triad_tp2_20260624_174257,2026-06-24
Qwen3.5-35B-A3B,moe_a3b,gptq_int4,2,1,82.38,82.38,,vllm021-cu126,4096,512,gptq021_q35b_20260626_014949,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,gptq_int4,2,2,68.20,136.39,,vllm021-cu126,4096,512,gptq021_q35b_20260626_014949,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,gptq_int4,2,4,58.07,232.28,,vllm021-cu126,4096,512,gptq021_q35b_20260626_014949,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,gptq_int4,2,8,46.53,372.24,,vllm021-cu126,4096,512,gptq021_q35b_20260626_014949,2026-06-26
